Vernier Format 2
elastico-imperfecto-bumper.txt 3/3/2024 1:58:41
Serie 1
Tiempo	Posicion	Velocidad	Aceleracion	Posicion	Velocidad	Aceleracion	Posicion	
T	P	V	A	P	V	A	P	
s	m	m/s	m/s^2	m	m/s	m/s^2	mm	

0,00	0,0000	0,000	0,000	0,0000	0,000	0,000		
0,01	0,0000	0,000	0,000	0,0000	0,000	0,000		
0,03	0,0000	0,000	0,000	0,0000	0,000	0,000		
0,04	0,0000	0,000	0,000	0,0000	0,000	0,000		
0,05	0,0000	0,000	0,000	0,0000	0,000	0,000		
0,07	0,0000	0,000	0,000	0,0000	0,000	0,000		
0,08	0,0000	0,000	0,000	0,0000	0,000	0,000		
0,09	0,0000	0,000	0,000	0,0000	0,000	0,000		
0,11	0,0000	0,000	0,000	0,0000	0,000	0,000		
0,12	0,0000	0,000	0,000	0,0000	0,000	0,000		
0,13	0,0000	0,000	0,000	0,0000	0,000	0,000		
0,15	0,0000	0,000	0,000	0,0000	0,000	0,000		
0,16	0,0000	0,000	0,000	0,0000	0,000	0,000		
0,17	0,0000	0,000	0,000	0,0000	0,000	0,000		
0,19	0,0000	0,000	0,000	0,0000	0,000	0,000		
0,20	0,0000	0,000	0,000	0,0000	0,000	0,000		
0,21	0,0000	0,000	0,000	0,0000	0,000	0,000		
0,23	0,0000	0,000	0,000	0,0000	0,000	0,000		
0,24	0,0000	0,000	0,000	0,0000	0,000	0,000		
0,25	0,0000	0,000	0,000	0,0000	0,000	0,000		
0,27	0,0000	0,000	0,000	0,0000	0,000	0,000		
0,28	0,0000	0,000	0,000	0,0000	0,000	0,000		
0,29	0,0000	0,000	0,000	0,0000	0,000	0,000		
0,31	0,0000	0,000	0,000	0,0000	0,000	0,000		
0,32	0,0000	0,000	0,000	0,0000	0,000	0,000		
0,33	0,0000	0,000	0,000	0,0000	0,000	0,000		
0,35	0,0000	0,000	0,000	0,0000	0,000	0,000		
0,36	0,0000	0,000	0,000	0,0000	0,000	0,000		
0,37	0,0000	0,000	0,000	0,0000	0,000	0,000		
0,39	0,0000	0,000	0,000	0,0000	0,000	0,000		
0,40	0,0000	0,000	0,000	0,0000	0,000	0,000		
0,41	0,0000	0,000	0,000	0,0000	0,000	0,000		
0,43	0,0000	0,000	0,000	0,0000	0,000	0,000		
0,44	0,0000	0,000	0,000	0,0000	0,000	0,000		
0,45	0,0000	0,000	0,000	0,0000	0,000	0,000		
0,47	0,0000	0,000	0,000	0,0000	0,000	0,000		
0,48	0,0000	0,000	0,000	0,0000	0,000	0,000		
0,49	0,0000	0,000	0,000	0,0000	0,000	0,000		
0,51	0,0000	0,000	0,000	0,0000	0,000	0,000		
0,52	0,0000	0,000	0,000	0,0000	0,000	0,000		
0,53	0,0000	0,000	0,000	0,0000	0,000	0,000		
0,55	0,0000	0,000	0,000	0,0000	0,000	0,000		
0,56	0,0000	0,000	0,000	0,0000	0,000	0,000		
0,57	0,0000	0,000	0,000	0,0000	0,000	0,000		
0,59	0,0000	0,000	0,000	0,0000	0,000	0,000		
0,60	0,0000	0,000	0,000	0,0000	0,000	0,000		
0,61	0,0000	0,000	0,000	0,0000	0,000	0,000		
0,63	0,0000	0,000	0,000	0,0000	0,000	0,000		
0,64	0,0000	0,000	0,000	0,0000	0,000	0,000		
0,65	0,0000	0,000	0,000	0,0000	0,000	0,000		
0,67	0,0000	0,000	0,000	0,0000	0,000	0,000		
0,68	0,0000	0,000	0,000	0,0000	0,000	0,000		
0,69	0,0000	0,000	0,000	0,0000	0,000	0,000		
0,71	0,0000	0,000	0,000	0,0000	0,000	0,000		
0,72	0,0000	0,000	0,000	0,0000	0,000	0,000		
0,73	0,0000	0,000	0,000	0,0000	0,000	0,000		
0,75	0,0000	0,000	0,000	0,0000	0,000	0,000		
0,76	0,0000	0,000	0,000	0,0000	0,000	0,000		
0,77	0,0000	0,000	0,000	0,0000	0,000	0,000		
0,79	0,0000	0,000	0,000	0,0000	0,000	0,000		
0,80	0,0000	0,000	0,000	0,0000	0,000	0,000		
0,81	0,0000	0,000	0,000	0,0000	0,000	0,000		
0,83	0,0000	0,000	0,000	0,0000	0,000	0,000		
0,84	0,0000	0,000	0,000	0,0000	0,000	0,000		
0,85	0,0000	0,000	0,000	0,0000	0,000	0,000		
0,87	0,0000	0,000	0,000	0,0000	0,000	0,000		
0,88	0,0000	0,000	0,000	0,0000	0,000	0,000		
0,89	0,0000	0,000	0,000	0,0000	0,000	0,000		
0,91	0,0000	0,000	0,000	0,0000	0,000	0,000		
0,92	0,0000	0,000	0,000	0,0000	0,000	0,000		
0,93	0,0000	0,000	0,000	0,0000	0,000	0,000		
0,95	0,0000	0,000	0,000	0,0000	0,000	0,000		
